Data Science and Machine Learning using Python,Video Content Production Shoots,03/24/2020,04/06/2020,,,,
Data Science and Machine Learning using Python,Video Content Post-production,04/07/2020,05/05/2020,,,,
Data Science and Machine Learning using Python,Beta Testing,05/06/2020,05/19/2020,,,,
Data Science and Machine Learning using Python,Launch,05/20/2020,05/22/2020,,,,
Deep Learning using Python,SME Onboarding,12/04/2019,12/06/2019,,,,
Deep Learning using Python,Documentary Requirements Completion,04/16/2020,05/07/2020,,,,
Deep Learning using Python,Video Content Production Shoots,05/08/2020,05/21/2020,,,,
Deep Learning using Python,Video Content Post-production,05/22/2020,06/17/2020,,,,
Deep Learning using Python,Beta Testing,06/30/2020,07/13/2020,,,,
Deep Learning using Python,Launch,07/14/2020,07/16/2020,,,,
Improving Employee and Customer Experience using Analytics,SME Onboarding,11/25/2019,12/06/2019,11/25/2019,12/06/2019,Completed,
Improving Employee and Customer Experience using Analytics,Documentary Requirements Completion,05/04/2020,05/22/2020,,,Not Started,
Improving Employee and Customer Experience using Analytics,Video Content Production Shoots,05/25/2020,06/05/2020,,,Not Started,
Improving Employee and Customer Experience using Analytics,Video Content Post-production,06/08/2020,07/02/2020,,,Not Started,
Improving Employee and Customer Experience using Analytics,Beta Testing,07/03/2020,07/16/2020,,,Not Started,
Improving Employee and Customer Experience using Analytics,Launch,07/17/2020,07/21/2020,,,Not Started,
Data Science and Analytics Project Management,SME Onboarding,11/25/2019,12/05/2019,11/25/2019,12/05/2019,Completed,
Data Science and Analytics Project Management,Documentary Requirements Completion,04/01/2020,04/23/2020,,,Not Started,
Data Science and Analytics Project Management,Video Content Production Shoots,04/24/2020,05/08/2020,,,Not Started,
Data Science and Analytics Project Management,Video Content Post-production,05/11/2020,06/03/2020,,,Not Started,
Data Science and Analytics Project Management,Beta Testing,06/04/2020,06/18/2020,,,Not Started,
Data Science and Analytics Project Management,Launch,06/19/2020,06/23/2020,,,Not Started,
Analytics Applications in Finance and Risk,SME Onboarding,11/27/2019,12/11/2019,11/27/2019,12/11/2019,Completed,
Analytics Applications in Finance and Risk,Documentary Requirements Completion,06/01/2020,06/22/2020,,,Not Started,
Analytics Applications in Finance and Risk,Video Content Production Shoots,06/23/2020,07/06/2020,,,Not Started,
Analytics Applications in Finance and Risk,Video Content Post-production,07/07/2020,07/30/2020,,,Not Started,
Analytics Applications in Finance and Risk,Beta Testing,08/03/2020,08/14/2020,,,Not Started,
Analytics Applications in Finance and Risk,Launch,08/17/2020,08/19/2020,,,Not Started,
